"Establecimiento";"Pc1.Actitud";"Pc1.Atencion";"Pc1.AtencRapida";"Pc1.Servicio";"Pd1.Asesora";"Pd1.InfoCompleta";"Pe1.Experienc";"Pe1.Consultas";"Pe1.ConocGama";"Pe1.ResolConsulta";"Pe1.Interes";"Pe1.EsperaAtenc";"Pe1.EsperaCaja";"Pe1.ResolucRapida";"Pe1.EmpleadCaja";"Pf1.Competitivid";"Pf1.Variedad";"Pg1.NumEmplead";"Pg1.Decoracion";"Pg1.Iluminacion";"Pg1.Climatizacion";"Pg1.OrdenLimpieza";"Pg1.Amplitud";"Pg1.Senalizacion";"Pg1.IdentCadena";"Ph1.CalidadPrecio";"Ph1.Satisfaccion";"C1.Edad";"C2.Sexo";"C3.EstadoCivil";"C4.CompraMedia";"C5.IngMes";"RC1.Edad";"RC2.Sexo";"RC4.CompraMedia";"RC5.IngMes"
"dia";8;8;8;9;8;7;8;8;9;10;7;9;9;9;7;9;9;8;7;8;8;6;6;8;7;7;9;"mas de 64";"mujer";"casado/a";"entre 31 y 45";"menos de 600";65;1;38;600
"dia";8;9;10;10;9;9;9;10;9;9;10;8;9;9;7;8;9;9;7;9;10;9;10;10;8;10;9;"de 55 a 64";"mujer";"casado/a";"entre 31 y 45";"menos de 600";60;1;38;600
"dia";9;7;6;7;5;7;7;7;8;8;7;7;8;7;5;7;6;8;5;6;6;8;7;9;9;8;8;"de 35 a 44";"hombre";"unido/a";"entre 46 y 60";"menos de 600";40;0;53;600
"dia";6;5;3;5;5;6;4;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;7;7;6;"de 45 a 54";"hombre";"separado/a";"entre 46 y 60";"menos de 600";50;0;53;600
"mercadona";8;8;7;5;5;5;5;5;5;5;5;6;2;5;8;10;8;6;5;8;6;10;10;10;9;10;10;"de 25 a 35";"mujer";"soltero/a";"entre 46 y 60";"menos de 600";30;1;53;600
"dia";8;5;8;8;8;8;6;6;7;7;6;6;6;7;4;6;6;8;7;8;7;5;6;8;9;8;8;"de 45 a 54";"mujer";"separado/a";"entre 61 y 75";"menos de 600";50;1;68;600
"mercadona";9;9;9;9;9;9;9;9;8;8;9;7;7;7;8;9;10;8;9;9;9;10;10;10;10;9;9;"mas de 64";"hombre";"viudo/a";"entre 15 y 30";"menos de 600";65;0;23;600
"carrefour";8;8;7;8;7;8;6;7;7;9;9;7;9;8;8;6;8;7;8;9;9;9;9;8;8;7;8;"mas de 64";"mujer";"casado/a";"entre 31 y 45";"menos de 600";65;1;38;600
"mercadona";6;5;4;6;4;5;7;6;7;6;6;9;8;8;8;7;8;8;8;8;8;8;8;7;9;8;8;"de 55 a 64";"mujer";"casado/a";"entre 15 y 30";"menos de 600";60;1;23;600
"mercadona";5;5;7;6;7;6;6;6;5;5;6;8;7;6;8;6;7;7;8;8;8;8;8;7;7;8;8;"mas de 64";"mujer";"casado/a";"entre 46 y 60";"menos de 600";65;1;53;600
"dia";8;8;7;8;8;8;7;7;8;7;7;9;9;9;8;9;9;8;6;7;1;7;7;6;7;9;9;"mas de 64";"hombre";"viudo/a";"menos de 15";"menos de 600";65;0;15;600
"dia";8;7;7;9;7;6;8;7;7;7;7;7;5;6;7;8;6;8;7;8;8;7;8;7;9;9;10;"mas de 64";"hombre";"viudo/a";"menos de 15";"menos de 600";65;0;15;600
